2024-03-14 00:22:23 | INFO | model_worker | Loading the model ['chatglm3-6b'] on worker ef9b90c6 ...
2024-03-14 00:22:43 | ERROR | stderr | Process model_worker - chatglm3-6b:
2024-03-14 00:22:43 | ERROR | stderr | Traceback (most recent call last):
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/urllib3/connection.py", line 203, in _new_conn
2024-03-14 00:22:43 | ERROR | stderr |     sock = connection.create_connection(
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/urllib3/util/connection.py", line 85, in create_connection
2024-03-14 00:22:43 | ERROR | stderr |     raise err
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/urllib3/util/connection.py", line 73, in create_connection
2024-03-14 00:22:43 | ERROR | stderr |     sock.connect(sa)
2024-03-14 00:22:43 | ERROR | stderr | OSError: [Errno 101] Network is unreachable
2024-03-14 00:22:43 | ERROR | stderr | 
2024-03-14 00:22:43 | ERROR | stderr | The above exception was the direct cause of the following exception:
2024-03-14 00:22:43 | ERROR | stderr | 
2024-03-14 00:22:43 | ERROR | stderr | Traceback (most recent call last):
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/urllib3/connectionpool.py", line 791, in urlopen
2024-03-14 00:22:43 | ERROR | stderr |     response = self._make_request(
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/urllib3/connectionpool.py", line 492, in _make_request
2024-03-14 00:22:43 | ERROR | stderr |     raise new_e
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/urllib3/connectionpool.py", line 468, in _make_request
2024-03-14 00:22:43 | ERROR | stderr |     self._validate_conn(conn)
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/urllib3/connectionpool.py", line 1097, in _validate_conn
2024-03-14 00:22:43 | ERROR | stderr |     conn.connect()
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/urllib3/connection.py", line 611, in connect
2024-03-14 00:22:43 | ERROR | stderr |     self.sock = sock = self._new_conn()
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/urllib3/connection.py", line 218, in _new_conn
2024-03-14 00:22:43 | ERROR | stderr |     raise NewConnectionError(
2024-03-14 00:22:43 | ERROR | stderr | urllib3.exceptions.NewConnectionError: <urllib3.connection.HTTPSConnection object at 0x7f46662a2560>: Failed to establish a new connection: [Errno 101] Network is unreachable
2024-03-14 00:22:43 | ERROR | stderr | 
2024-03-14 00:22:43 | ERROR | stderr | The above exception was the direct cause of the following exception:
2024-03-14 00:22:43 | ERROR | stderr | 
2024-03-14 00:22:43 | ERROR | stderr | Traceback (most recent call last):
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/requests/adapters.py", line 486, in send
2024-03-14 00:22:43 | ERROR | stderr |     resp = conn.urlopen(
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/urllib3/connectionpool.py", line 845, in urlopen
2024-03-14 00:22:43 | ERROR | stderr |     retries = retries.increment(
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/urllib3/util/retry.py", line 515, in increment
2024-03-14 00:22:43 | ERROR | stderr |     raise MaxRetryError(_pool, url, reason) from reason  # type: ignore[arg-type]
2024-03-14 00:22:43 | ERROR | stderr | urllib3.exceptions.MaxRetryError: HTTPSConnectionPool(host='huggingface.co', port=443): Max retries exceeded with url: /THUDM/chatglm3-6b/resolve/main/config.json (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f46662a2560>: Failed to establish a new connection: [Errno 101] Network is unreachable'))
2024-03-14 00:22:43 | ERROR | stderr | 
2024-03-14 00:22:43 | ERROR | stderr | During handling of the above exception, another exception occurred:
2024-03-14 00:22:43 | ERROR | stderr | 
2024-03-14 00:22:43 | ERROR | stderr | Traceback (most recent call last):
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/huggingface_hub/file_download.py", line 1238, in hf_hub_download
2024-03-14 00:22:43 | ERROR | stderr |     metadata = get_hf_file_metadata(
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/huggingface_hub/utils/_validators.py", line 118, in _inner_fn
2024-03-14 00:22:43 | ERROR | stderr |     return fn(*args, **kwargs)
2024-03-14 00:22:43 | ERROR | stderr |   File "/opt/conda/lib/python3.10/site-packages/huggingface_hub/file_download.py", line 1631, in get_hf_file_metadata
2024-03-14 00:22:43 | ERROR | stderr |     r = _request_wrapper(
